2014,Bradley Cooper,American Hustle,67.0,False
2015,JK Simmons,Whiplash,1.0222222222222221,True
2015,Edward Norton,Birdman,13.0,False
2015,Mark Ruffalo,Foxcatcher,17.0,False
2015,Robert Duvall,The Judge,31.0,False
2015,Ethan Hawke,Boyhood,33.0,False
2016,Mark Rylance,Bridge of Spies,5.5,True
2016,Sylvester Stallone,Creed,1.2564102564102564,False
2016,Tom Hardy,The Revenant,25.0,False
2016,Mark Ruffalo,Spotlight,34.0,False
2016,Christian Bale,The Big Short,36.0,False
2017,Mahershala Ali,Moonlight,1.1818181818181819,True
2017,Dev Patel,Lion,6.4,False
2017,Jeff Bridges,Hell or High Water,36.0,False
2017,Michael Shannon,Nocturnal Animal,41.0,False
2017,Lucas Hedges,Manchester by the Sea,67.0,False
2018,Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",1.1369863013698631,True
2018,Willem Dafoe,The Florida Project,7.9,False
2018,Christopher Plummer,All the Money in the World,44.0,False
2018,Richard Jenkins,The Shape of Water,55.0,False
2018,Woody Harrelson,Three Billboards Outside,55.0,False
2019,Mahershala Ali,Green Book,1.101010101010101,True
2019,Richard E Grant,Can You Ever Forgive Me?,8.5,False
2019,Sam Elliott,A Star Is Born,31.0,False
2019,Sam Rockwell,Vice,101.0,False
2019,Adam Driver,BlacKkKlansman,126.0,False
2020,Brad Pitt,Once Upon a Time in...Hollywood,1.0235294117647058,True
2020,Joe Pesci,The Irishman,19.75,False
2020,Al Pacino,The Irishman,43.5,False
2020,Tom Hanks,A Beautiful Day in the Neighborhood,76.0,False
2020,Anthony Hopkins,The Two Popes,76.0,False
2021,Daniel Kaluuya,Judas and the Black Messiah,1.0333333333333334,True
2021,Sacha Baron Cohen,The Trial of the Chicago 7,15.0,False
2021,Leslie Odom Jr,One Night in Miami,21.0,False
2021,Paul Paci,Sound of Metal,26.0,False
2021,Lakeith Stanfield,Judas and the Black Messiah,34.0,False
2022,Troy Kotsur,CODA,1.1333333333333333,True
2022,Kodi Smit-McPhee,The Power of the Dog,4.5,False
2022,Ciaran Hinds,Belfast,26.0,False
2022,Jesse Plemons,The Power of the Dog,34.0,False
2022,JK Simmons,Being the Ricardos,51.0,False
