2011,True Grit,26.0,False
2011,The Fighter,26.0,False
2011,Black Swan,26.0,False
2011,The Social Network,4.5,False
2011,Winters Bone,76.0,False
2012,The Artist,1.0833333333333333,True
2012,The Descendants,11.0,False
2012,The Help,13.0,False
2012,Hugo,21.0,False
2012,Moneyball,41.0,False
2012,War Horse,41.0,False
2012,Extremely Loud & Incredibly Close,76.0,False
2012,Midnight In Paris,76.0,False
2012,The Tree of Life,76.0,False
2013,Argo,1.1200480192076832,True
2013,Lincoln,5.5,False
2013,Silver Linings Playbook,19.0,False
2013,Zero Dark Thirty,34.0,False
2013,Les Miserables,51.0,False
2013,Life of Pi,51.0,False
2013,Amour,67.0,False
2013,Django Unchained,67.0,False
2013,Beasts of the Southern Wild,81.0,False
2014,12 Years a Slave,1.2,True
2014,Gravity,4.5,False
2014,American Hustle,17.0,False
2014,Dallas Buyers Club,23.0,False
2014,The Wolf of Wall Street,41.0,False
2014,Philomena,151.0,False
2014,Captain Phillips,201.0,False
2014,Her,201.0,False
2014,Nebraska,201.0,False
2015,Birdman,1.4444444444444444,True
2015,Boyhood,2.3,False
2015,American Sniper,16.0,False
2015,The Imitation Game,34.0,False
2015,Selma,34.0,False
2015,The Grand Budapest Hotel,51.0,False
2015,Theory of Everything,67.0,False
2015,Whiplash,67.0,False
2016,Spotlight,4.5,True
2016,The Revenant,1.4,False
2016,The Big Short,8.0,False
2016,Room,126.0,False
2016,Mad Max: Fury Road,126.0,False
2016,The Martian,161.0,False
2016,Brooklyn,251.0,False
2016,Bridge of Spies,251.0,False
2017,Moonlight,5.3,True
2017,La La Land,1.2222222222222223,False
2017,Hidden Figures,36.0,False
2017,Manchester by the Sea,51.0,False
2017,Lion,101.0,False
2017,Arrival,226.0,False
2017,Hacksaw Ridge,186.0,False
2017,Fences,246.0,False
2017,Hell or High Water,291.0,False
2018,The Shape of Water,2.67,True
2018,"Three Billboards Outside Ebbing, Missouri",2.03,False
2018,Get Out,7.55,False
2018,Lady Bird,16.5,False
2018,Dunkirk,44.0,False
2018,Call Me By Your Name,86.0,False
2018,The Post,161.0,False
2018,Phantom Thread,161.0,False
2018,Darkest Hour,211.0,False
2019,Green Book,3.1,True
2019,Roma,1.6451612903225807,False
2019,Bohemian Rhapsody,24.0,False
2019,Black Panther,24.0,False
2019,The Favourite,26.0,False
2019,BlackKKlansman,31.0,False
2019,A Star is Born,76.0,False
2019,Vice,151.0,False
2020,Parasite,2.73,True
2020,1917,1.6134969325153374,False
2020,Once Upon A Time in...Hollywood,16.25,False
2020,Joker,38.5,False
2020,Jojo Rabbit,57.5,False
2020,The Irishman,96.0,False
2020,Marriage Story,146.0,False
2020,Little Women,246.0,False
2020,Ford v Ferrari,296.0,False
2021,Nomadland,1.1818181818181819,True
2021,The Trial of the Chicago 7,6.5,False
2021,Minari,15.0,False
2021,Promising Young Woman,21.0,False
2021,Mank,34.0,False
2021,The Father,51.0,False
2021,Judas and the Black Messiah,51.0,False
2021,Sound of Metal,67.0,False
2022,CODA,1.8,True
2022,The Power of the Dog,2.1,False
2022,Nightmare Alley,101.0,False
2022,King Richard,51.0,False
2022,Dune,51.0,False
2022,Licorice Pizza,67.0,False
2022,Drive My Car,67.0,False
2022,West Side Story,34.0,False
2022,Belfast,15.0,False
2022,Don't Look Up,10.0,False
