Year,Movie,Odds,Winner
2012,Extremely Loud & Incredibly Close,76,FALSE
2012,Midnight In Paris,76,FALSE
2012,The Tree of Life,76,FALSE
2013,Argo,1.120048019,TRUE
2013,Lincoln,5.5,FALSE
2013,Silver Linings Playbook,19,FALSE
2013,Zero Dark Thirty,34,FALSE
2013,Les Miserables,51,FALSE
2013,Life of Pi,51,FALSE
2013,Amour,67,FALSE
2013,Django Unchained,67,FALSE
2013,Beasts of the Southern Wild,81,FALSE
2014,12 Years a Slave,1.2,TRUE
2014,Gravity,4.5,FALSE
2014,American Hustle,17,FALSE
2014,Dallas Buyers Club,23,FALSE
2014,The Wolf of Wall Street,41,FALSE
2014,Philomena,151,FALSE
2014,Captain Phillips,201,FALSE
2014,Her,201,FALSE
2014,Nebraska,201,FALSE
2015,Birdman or (The Unexpected Virtue of Ignorance),1.444444444,TRUE
2015,Boyhood,2.3,FALSE
2015,American Sniper,16,FALSE
2015,The Imitation Game,34,FALSE
2015,Selma,34,FALSE
2015,The Grand Budapest Hotel,51,FALSE
2015,Theory of Everything,67,FALSE
2015,Whiplash,67,FALSE
2016,Spotlight,4.5,TRUE
2016,The Revenant,1.4,FALSE
2016,The Big Short,8,FALSE
2016,Room,126,FALSE
2016,Mad Max: Fury Road,126,FALSE
2016,The Martian,161,FALSE
2016,Brooklyn,251,FALSE
2016,Bridge of Spies,251,FALSE
2017,Moonlight,5.3,TRUE
2017,La La Land,1.222222222,FALSE
2017,Hidden Figures,36,FALSE
2017,Manchester by the Sea,51,FALSE
2017,Lion,101,FALSE
2017,Arrival,226,FALSE
2017,Hacksaw Ridge,186,FALSE
2017,Fences,246,FALSE
2017,Hell or High Water,291,FALSE
2018,The Shape of Water,2.67,TRUE
2018,"Three Billboards Outside Ebbing, Missouri",2.03,FALSE
2018,Get Out,7.55,FALSE
2018,Lady Bird,16.5,FALSE
2018,Dunkirk,44,FALSE
2018,Call Me By Your Name,86,FALSE
2018,The Post,161,FALSE
2018,Phantom Thread,161,FALSE
2018,Darkest Hour,211,FALSE
2019,Green Book,3.1,TRUE
2019,Roma,1.64516129,FALSE
2019,Bohemian Rhapsody,24,FALSE
2019,Black Panther,24,FALSE
2019,The Favourite,26,FALSE
2019,BlackKKlansman,31,FALSE
2019,A Star is Born,76,FALSE
2019,Vice,151,FALSE
2020,Parasite,2.73,TRUE
2020,1917,1.613496933,FALSE
2020,Once Upon a Time... in Hollywood,16.25,FALSE
2020,Joker,38.5,FALSE
2020,Jojo Rabbit,57.5,FALSE
2020,The Irishman,96,FALSE
2020,Marriage Story,146,FALSE
2020,Little Women,246,FALSE
2020,Ford v Ferrari,296,FALSE
2021,Nomadland,1.181818182,TRUE
2021,The Trial of the Chicago 7,6.5,FALSE
2021,Minari,15,FALSE
2021,Promising Young Woman,21,FALSE
2021,Mank,34,FALSE
2021,The Father,51,FALSE
2021,Judas and the Black Messiah,51,FALSE
2021,Sound of Metal,67,FALSE
2022,CODA,1.8,TRUE
2022,The Power of the Dog,2.1,FALSE
2022,Nightmare Alley,101,FALSE
2022,King Richard,51,FALSE
2022,Dune,51,FALSE
2022,Licorice Pizza,67,FALSE
2022,Drive My Car,67,FALSE
2022,West Side Story,34,FALSE
2022,Belfast,15,FALSE
2022,Don't Look Up,10,FALSE
