Year,Name,Movie,Odds,Winner
2001,Laura Linney,You Can Count On Me,21,TRUE
2001,Joan Allen,The Contender,11,FALSE
2001,Juliette Binoche,Chocolat,21,FALSE
2001,Ellen Burstyn,Requiem for a Dream,16,FALSE
2003,Nicole Kidman,The Hours,2.2,TRUE
2003,Salma Hayek,Frida,16,FALSE
2003,Diane Lane,Unfaithful,9,FALSE
2003,Julianne Moore,Far from Heaven,3,FALSE
2003,Renee Zellweger,Chicago,5,FALSE
2004,Charlize Theron,Monster,1.5,TRUE
2004,Diane Keaton,Something's Gotta Give,2.2,FALSE
2004,Naomi Watts,21 Grams,21,FALSE
2004,Samantha Morton,In America,41,FALSE
2004,Keisha Castie-Hughes,Whale Rider,51,FALSE
2006,Reese Witherspoon,Walk the Line,1.598802395,TRUE
2006,Judi Dench,Mrs Henderson Presents,21,FALSE
2006,Felicity Huffman,Transamerica,4,FALSE
2006,Keira Knightley,Pride & Predjudice,4.5,FALSE
2006,Charlize Theron,North Country,26,FALSE
2009,Kate Winslet,The Reader,2.2,TRUE
2009,Anne Hathaway,Rachel Getting Married,2.6,FALSE
2009,Meryl Streep,Doubt,6,FALSE
2009,Melissa Leo,Frozen River,13,FALSE
2009,Angelina Jolie,Changeling,16,FALSE
2010,Sandra Bullock,The Blind Side,1.384615385,TRUE
2010,Meryl Streep,Julie & Julia,3.1,FALSE
2010,Gabourey Sidibe,Precious,9.5,FALSE
2010,Carey Mulligan,An Education,11,FALSE
2010,Helen Mirren,The Last Station,41,FALSE
2011,Natalie Portman,Black Swan,1.066666667,TRUE
2011,Annette Bening,The Kids Are All Right,7,FALSE
2011,Nicole Kidman,Rabbit Hole,16,FALSE
2011,Jennifer Lawrence,Winter's Bone,26,FALSE
2011,Michelle Williams,Blue Valentine,31,FALSE
2012,Meryl Streep,The Iron Lady,2.25,TRUE
2012,Viola Davis,The Help,1.625,FALSE
2012,Michelle Williams,My Week with Marilyn,16,FALSE
2012,Rooney Mara,The Girl with the Dragon Tattoo,41,FALSE
2012,Glenn Close,Albert Nobbs,51,FALSE
2013,Jennifer Lawrence,Silver Linings Playbook,1.5,TRUE
2013,Emmanuelle Riva,Amour,3,FALSE
2013,Jessica Chastain,Zero Dark Thirty,7,FALSE
2013,Naomi Watts,The Impossible,34,FALSE
2013,Quvenzhan? Wallis,Beasts of the Southern Wild,41,FALSE
2014,Cate Blanchett,Blue Jasmine,1.01,TRUE
2014,Amy Adams,American Hustle,15,FALSE
2014,Sandra Bullock,Gravity,19,FALSE
2014,Judi Dench,Philomena,34,FALSE
2014,Meryl Streep,August: Osage County,51,FALSE
2015,Julianne Moore,Still Alice,1.025,TRUE
2015,Reese Witherspoon,Wild,13,FALSE
2015,Rosamund Pike,Gone Girl,26,FALSE
2015,Felicity Jones,The Theory of Everything,41,FALSE
2015,Marion Cotillard,Two Days one Night,51,FALSE
2016,Brie Larson,Room,1.026315789,TRUE
2016,Saoirse Ronan,Brooklyn,25,FALSE
2016,Cate Blanchet,Carol,91,FALSE
2016,Jennifer Lawrence,Joy,176,FALSE
2016,Charlotte Rampling,45 Years,201,FALSE
2017,Emma Stone,La La Land,1.206185567,TRUE
2017,Isabelle Huppert,Elle,9,FALSE
2017,Natalie Portman,Jackie,9.5,FALSE
2017,Meryl Streep,Florence Foster Jenkins,76,FALSE
2017,Ruth Negga,Loving,81,FALSE
2018,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",1.086956522,TRUE
2018,Saoirse Ronan,Lady Bird,24,FALSE
2018,Sally Hawkins,The Shape of Water,27,FALSE
2018,Margot Robbie,I Tonya,46,FALSE
2018,Meryl Streep,The Post,161,FALSE
2019,Olivia Colman,The Favourite,7.5,TRUE
2019,Glenn Close,The Wife,1.161290323,FALSE
2019,Lady Gaga,A Star Is Born,26,FALSE
2019,Yalitza Aparicio,Roma,34,FALSE
2019,Melissa McCarthy,Can You Ever Forgive Me?,101,FALSE
2020,Renee Zelweger,Judy,1.085106383,TRUE
2020,Scarlett Johansson,Marriage Story,10.75,FALSE
2020,Cynthia Erivo,Harriet,15.25,FALSE
2020,Saoirse Ronan,Little Women,47.5,FALSE
2020,Charlize Theron,Bombshell,57.5,FALSE
2021,Frances McDormand,Nomadland,4.5,TRUE
2021,Carey Mulligan,Promising Young Woman,2.25,FALSE
2021,Viola Davis,Ma Rainey's Black Bottom,3,FALSE
2021,Andra Day,The United States vs Billie Holiday,7,FALSE
2021,Vanessa Kirby,Pieces of Woman,21,FALSE
2022,Jessica Chastain,The Eyes of Tammy Faye,1.571428571,TRUE
2022,Nicole Kidman,Being the Ricardos,6,FALSE
2022,Kristen Stewart,Spencer,9,FALSE
2022,Olivia Colman,The Lost Daughter,10,FALSE
2022,Penelope Cruz,Paralell Mothers,3.75,FALSE
